date,tweets,tweet_clean
2022-04-05,"@sharonanneth @Dennysiregar7 bener banget, nggak ada bangga² nya n mahasiswa ITB kalah jauh ilmunya sama yang ngembangin teknologi stealth di mobil esemka n remot langit generasi pertama  😂😂😂",bangga mahasiswa itb kalah ilmu ngembangin teknologi stealth mobil esemka remot langit generasi
2022-04-05,"@NasionalisSiber Mahasiswa kok dongok, kwalitas mahasiswa seperti ini bisa jd apa..?",mahasiswa dongok kualitas mahasiswa
2022-04-05,"@Android_AK_47 Jangan biarkan Mahasiswa Bergerak sendirian..
Rakyat,Buruh dan STM Bersatulah dalam 1 barisan..
#GoodByeJokowi 
#GoodByeJokowi",biar mahasiswa gerak rakyat buruh stm satu baris goodbyejokowi goodbyejokowi
2022-04-05,"#temanpemilih #sedulurkpubanyumas KPU Banyumas memberikan Pelayanan Informasi kepada Mahasiswa IT Telkom Purwokerto terkait Tugas Mata Kuliah, Selasa (5/4/2022).

@KPU_ID 
@KPU_Jateng 

#KPUBanyumas
#KPUMelayani
#SedulurKPUBanyumas
#pelayananPPID https://t.co/YeJCvecvIx",temanpemilih sedulurkpubanyumas kpu banyumas layan informasi mahasiswa it telkom purwokerto kait tugas kuliah selasa kpubanyumas kpumelayani sedulurkpubanyumas pelayananppid
2022-04-05,"@J4YIES aku bisaa, 2k per nomor, langsung dm atau wa di https://t.co/kPBg9lZcy7 buat diskusi dan nego, aku mahasiswa sasing semester akhir, testi ada di https://t.co/P185AT9XJy",bisaa nomor dm wa diskusi nego mahasiswa sasing semester testi
2022-04-05,"mudah mudahan bapak Presiden @jokowi tidak dijebloskan untuk merusak reformasi oleh oligarki dan para cukong gak jelas ini. 
https://t.co/7Pwsjx7eGG",mudah mudah presiden jeblos rusak reformasi oligarki cukong
2022-04-05,"Selama pendemi rumah ku tinggalkan merantau, tiap bulan tagihan hampir sejutaan. Yg ngambil mahasiswa yg ngontrak rmh samping. G aku bayar tagihan segitu, diputus, ya dah pankapan saja kalau udah ditempati lagi baru dipasang. https://t.co/rFq3YZpxpb",demi rumah ku tinggal rantau tagih juta ngambil mahasiswa ngontrak rmh samping bayar tagih segitu putus dah pankapan tempat pasang
2022-04-05,"@soen_cak demo koq merusak begini
mahasiswa koq seperti preman 😓",demo koq rusak mahasiswa koq preman
2022-04-05,"Ada yang tau ga anehnya demo mahasiswa kemaren?, Udah ga ada covid kawan kawan.",aneh demo mahasiswa kemaren covid kawan kawan
2022-04-05,@RamliRizal Kalau damai damai terus..justru pemerintah senang donk..justru perlu sedikit sedikit sesuatu yg bisa membangkitkan gairah revolusi mahasiswa yaitu adanya violence,damai damai perintah senang donk bangkit gairah revolusi mahasiswa violence
2022-04-05,"Mereka Bukan Mahasiswa tapi
MAHASEWA https://t.co/f9C1Zrpyh8",mahasiswa mahasewa
2022-04-05,"@DraftAnakUnpad biasanya dosen ngasih jatah cabut mahasiswa 1-2x aja. karena absensi masih aman bgt. kalo 3x, itu tiap dosen beda2",dosen ngasih jatah cabut mahasiswa absensi aman bgt dosen beda
2022-04-05,@SantorinisSun Mahasiswa sekarang beda sdh polusi kertas biru dan nasbung karet hijau...,mahasiswa beda sdh polusi kertas biru nasbung karet hijau
2022-04-05,"[SERUAN AKSI MERESPON KENAIKAN HARGA BBM, PPN, ISU PENUNDAAN PEMILU &amp; 3 PERIODE JOKOWI]

Hidup Mahasiswa !!! https://t.co/pFdj1oGdYE",seru aksi merespon naik harga bbm ppn isu tunda milu amp periode jokowi hidup mahasiswa
2022-04-05,knp risol mayo identik sama organisasi mahasiswa ya,knp risol mayo identik organisasi mahasiswa
2022-04-05,"@sapporo_jack @JawaraSantuy @jey_jailbreaker @Anooonyme2 @GHrp20 @warnadi08 @Dwipakelana1 @sofiankawar1 @buzzerbalaiKNTL @MahbubGhani @ferdianto_ary @ahista_perdana @Frans_Priyo @ImanTangankanan @NKRIHAR82459132 @ImamMursyalin @bknMuslimEgois1 @ediasmawan @Bentir16 @asmujivahn @Prajakelana2 @Iteungik @Dipakelana1 @sakitotak3 @Wirakelana14 @AsliLucuBanget @BDarmaTriH @Daud19761 @ArSunantoaris @bejoaja93664427 @YatiBibi @YudiSet16452924 @qwelijk @El70004 @sastro0001 @antonah61851221 @devanavedraza @H4l1mun_D1n61n @DiptraD @Yonesman2 @anticebong2021 @JunizarT @Ladede3 @BoniCekrik @Anugrh_Prtm3 @Crespo04946885 @2H80457169 @Didi_BMS @ekoguruoke Siapa yg tidak mengakui dia presiden sih? 😂😂 nenek2 juga tau dia presiden wkwkwkwk..tapi kita kritik kepemimpinannya,kebijakannya..ya sekarang you liat aja lah gimana banyak orang mengeluh,mahasiswa sudah turun ke jalan..buruh protes..lahan warga diserobot untuk tambang..ckck",aku presiden nenek presiden wkwkwkwk kritik pimpin bijak you liat gimana keluh mahasiswa turun jalan buruh protes lahan warga serobot tambang ckck
2022-04-05,subuh2 ngakak banget ya Allah ampun “lu udah jadi mahasiswa jangan kaya gini lagi lu udah gede” PERCIS BGT https://t.co/xB4bpZzM2B,subuh ngakak allah ampun lu ssudah mahasiswa kaya gin lu ssudah gede percis bgt
2022-04-05,Ya Allah smg perjuangan para mahasiswa dan buruh tgl 11 april nanti berhasil menumbangkan pemimpin yg dzalim itu.,allah smg juang mahasiswa buruh tgl april hasil tumbang pimpin dzalim
2022-04-05,@KompasTV Yg menghujat Mahasiswa Demo..para cebong yg akan merusak Indonesia dg melanggar Konstitusi...Dasar manusia2 Serakah🙏🙏🙏,hujat mahasiswa demo cebong rusak indonesia dg langgar konstitusi dasar manusia serakah
2022-04-05,"@soen_cak @davitttts Ternyata mahasiswa ini pembela golongan atas ya..
Padahal ibu bapaknya sy yakin dari golongan menengah kebawah (tdk menggunakan pertamax untuk kendaraannya)

Orang2 kelas atas mana ada kuliahin anaknya dikampus abal abal..?",mahasiswa bela golong bapak sy golong tengah bawah tdk pertamax kendara kelas kuliahin anak kampus abal abal
2022-04-05,"Rizal Ramli, Gerakan Mahasiswa dan Aksi Demonstrasi Nirkekerasan, Non-Violence, Revolusi Damai

https://t.co/ALy7b8sBXV https://t.co/fszdudqour",rizal ramli gera mahasiswa aksi demonstrasi nirkekerasan non violence revolusi damai
2022-04-05,@geloraco Tgl 11 gabung mahasiswa melawan oligarki,tgl gabung mahasiswa lawan oligarki
2022-04-05,"@OposisiCerdas Bukti lengkap sudah terkumpul, mau mengelak gimana lagi, bukti BIG DATA dusta  dengan BIG DUSTA mirip, mahasiswa sudah mengepung, tangkap .",bukti lengkap kumpul elak gimana bukti big data dusta big dusta mahasiswa kepung tangkap
2022-04-05,@Cintada16 @SoniMsi07 Kaya2 ya mahasiswa skrg pd pake Mobil yg pake pertamax. Jaman dulu kuliah sy masi naik biz,kaya mahasiswa pd pakai mobil pakai pertamax jaman kuliah sy mas biz
2022-04-05,"@Android_AK_47 Semoga berhasil perjuangan menggulingkan rezim luknut. Dulu zaman rasullulah.. di bulan suci Ramadhan bs menaklukan kota Mekah dan semoga di bulan suci ini mahasiswa, aliansi buruh dan aliansi masyarakat bs menggulingkan rezim ini. Amin amin amin...",moga hasil juang guling rezim luknut zaman rasullulah suci ramadhan bs takluk kota mekah moga suci mahasiswa aliansi buruh aliansi masyarakat bs guling rezim amin amin amin
2022-04-05,@sbmptnfess oot tapi seneng deh sekarang ltmpt aktif di tiktok dan jawab pertanyaan calon mahasiswa. jadi ngerasa tenang karena pertanyaan mereka udah terjawab secara resmi;),oot neng deh ltmpt aktif tiktok calon mahasiswa ngerasa tenang jawab resmi
2022-04-05,"Selama punya nyali banyak cara menunjukan pembelaan terhadap Palestina.

Seorang mahasiswa Inggris mengibarkan bendera Palestina saat wisuda kelulusannya di kota Inggris, Manchester. https://t.co/a8LgOalnnO",nyali tunjuk bela palestina mahasiswa inggris kibar bendera palestina wisuda kelulus kota inggris manchester
2022-04-05,"[HADIS 04 | 30 HADIS SEPANJANG RAMADAN]

*""NABI PALING BANYAK DERMAWAN/ PEMURAH KETIKA RAMADAN.""*

Disediakan oleh :
EXCO KEROHANIAN DAN KEPIMPINAN
PERSATUAN MAHASISWA KELANTAN DARUL NAIM (PERDANA UKM) SESI 21/22
UNIVERSITI KEBANGSAAN MALAYSIA

#30HadisRamadan
#PerdanaUKM https://t.co/U4m5fzoM9W",hadis hadis ramadan nabi dermawan murah ramadan sedia exco rohani pimpin satu mahasiswa lantan darul naim perdana ukm sesi universiti bangsa malaysia hadisramadan perdanaukm
